ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
20	969_i	I	YiXide	Yi (Xide)	ŋa³³	ŋa³³	ŋ a ³³	sich1238	1209	28.19	102.12		4 7 8	AXT	NA4	48	48.N.C 48.A.V 48.4.T	1.6 3.0 1.0	ŋa³³	0	1	ŋ - a ³³
21	969_i	I	YiDafang	Yi (Dafang)	ŋo²¹	ŋo²¹	ŋ o ²¹	wusa1235	1209	25.77	102.37		4 7 8	AXT	NU3	44	44.N.C 44.U.V 44.3.T	1.6 3.0 1.0	ŋo²¹	0	1	ŋ - o ²¹
22	969_i	I	YiNanjian	Yi (Nanjian)	ŋɑ⁵⁵	ŋɑ⁵⁵	ŋ ɑ ⁵⁵	xish1235	1209	24.87	100.71		4 7 8	AXT	NA5	47	47.N.C 47.A.V 47.5.T	1.6 3.0 1.0	ŋɑ⁵⁵	0	1	ŋ - ɑ ⁵⁵
23	969_i	I	YiNanhua	Yi (Nanhua)	ŋo³³	ŋo³³	ŋ o ³³	lolo1259	1209	25.5	101.3		4 7 8	AXT	NU4	46	46.N.C 46.U.V 46.4.T	1.6 3.0 1.0	ŋo³³	0	1	ŋ - o ³³
24	969_i	I	YiMile	Yi (Mile)	ŋo³³	ŋo³³	ŋ o ³³		1209				4 7 8	AXT	NU4	45	45.N.C 45.U.V 45.4.T	1.6 3.0 1.0	ŋo³³	0	1	ŋ - o ³³
25	969_i	I	MojiangYi	Yi (Mojiang)	ŋo²¹	ŋo²¹	ŋ o ²¹	yuan1242	1209				4 7 8	AXT	NU3	24	24.N.C 24.U.V 24.3.T	1.6 3.0 1.0	ŋo²¹	0	1	ŋ - o ²¹
26	969_i	I	Liso	Lisu	ŋuɑ⁴⁴	ŋuɑ⁴⁴	ŋ w ɑ ⁴⁴	lisu1250	1209	26.91	98.94		4 6 7 8	ACXT	NWA5	20	20.N.C 20.W.C 20.A.V 20.5.T	1.6 1.2 3.0 1.0	ŋwɑ⁴⁴	0	1	ŋ w ɑ ⁴⁴
27	969_i	I	LijangNaxi	Naxi (Lijiang)	ŋə³¹	ŋə³¹	ŋ ə ³¹	naxi1246	1209	27.46	100.18		4 7 8	AXT	NE3	19	19.N.C 19.E.V 19.3.T	1.6 3.0 1.0	ŋə³¹	0	1	ŋ - ə ³¹
28	969_i	I	YongningNaxi	Naxi (Yongning)	ȵɑ³³	ȵɑ³³	ɲ ɑ ³³	naxi1246	1209	27.46	100.18		4 7 8	AXT	NA4	49	49.N.C 49.A.V 49.4.T	1.6 3.0 1.0	ɲɑ³³	0	1	ɲ - ɑ ³³
29	969_i	I	BikaHani	Hani (Bika)	ŋa⁵⁵	ŋa⁵⁵	ŋ a ⁵⁵		1209				4 7 8	AXT	NA5	3	3.N.C 3.A.V 3.5.T	1.6 3.0 1.0	ŋa⁵⁵	0	1	ŋ - a ⁵⁵
30	969_i	I	HayaHani	Hani (Haya)	ŋa⁵⁵	ŋa⁵⁵	ŋ a ⁵⁵		1209				4 7 8	AXT	NA5	12	12.N.C 12.A.V 12.5.T	1.6 3.0 1.0	ŋa⁵⁵	0	1	ŋ - a ⁵⁵
31	969_i	I	HaobaiHani	Hani (Haobai)	ŋɔ⁵⁵	ŋɔ⁵⁵	ŋ ɔ ⁵⁵		1209				4 7 8	AXT	NU5	11	11.N.C 11.U.V 11.5.T	1.6 3.0 1.0	ŋɔ⁵⁵	0	1	ŋ - ɔ ⁵⁵
32	969_i	I	Lahu	Lahu	ŋᴀ³¹	ŋᴀ³¹	ŋ a ³¹	lahu1253	1209	21.27	100.21		4 7 8	AXT	NA3	17	17.N.C 17.A.V 17.3.T	1.6 3.0 1.0	ŋa³¹	0	1	ŋ - a ³¹
33	969_i	I	Jinou	Jinuo	ŋɔ³¹	ŋɔ³¹	ŋ ɔ ³¹	youl1235	1209	22.05	101.06		4 7 8	AXT	NU3	16	16.N.C 16.U.V 16.3.T	1.6 3.0 1.0	ŋɔ³¹	0	1	ŋ - ɔ ³¹
34	969_i	I	DaliBai	Bai (Dali)	ŋo³¹	ŋo³¹	ŋ o ³¹	sout2730	1209	25.52	100.29		4 7 8	AXT	NU3	5	5.N.C 5.U.V 5.3.T	1.6 3.0 1.0	ŋo³¹	0	1	ŋ - o ³¹
35	969_i	I	JianchuanBai	Bai (Jianchuan)	ŋo³¹	ŋo³¹	ŋ o ³¹	cent2004	1209	26.17	99.71		4 7 8	AXT	NU3	14	14.N.C 14.U.V 14.3.T	1.6 3.0 1.0	ŋo³¹	0	1	ŋ - o ³¹
36	969_i	I	BijangBai	Bai (Bijiang)	ŋo⁴²	ŋo⁴²	ŋ o ⁴²	nort2724	1209	26.93	99.66		4 7 8	AXT	NU3	2	2.N.C 2.U.V 2.3.T	1.6 3.0 1.0	ŋo⁴²	0	1	ŋ - o ⁴²
