ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
TibetanXiahe-973_yousg-1-1,TibetanXiahe-973_yousg-1,tɕhol,973_yousg-3,false,expert,Gao2020,,,
TibetanZeku-973_yousg-1-1,TibetanZeku-973_yousg-1,cçho,973_yousg-3,false,expert,Gao2020,,,
MenbaCuona-973_yousg-1-1,MenbaCuona-973_yousg-1,ʔi⁵³,973_yousg-6,false,expert,Gao2020,,,
MenbaMotuo-973_yousg-1-1,MenbaMotuo-973_yousg-1,nan,973_yousg-7,false,expert,Gao2020,,,
QiangMawo-973_yousg-1-1,QiangMawo-973_yousg-1,kuə,973_yousg-8,false,expert,Gao2020,,,
QiangTaoping-973_yousg-1-1,QiangTaoping-973_yousg-1,no⁵⁵,973_yousg-7,false,expert,Gao2020,,,
PumiTaoba-973_yousg-1-1,PumiTaoba-973_yousg-1,ȵi³⁵,973_yousg-7,false,expert,Gao2020,,,
PumiQinghua-973_yousg-1-1,PumiQinghua-973_yousg-1,nɛ¹³,973_yousg-7,false,expert,Gao2020,,,
rGyalrongSomo-973_yousg-1-1,rGyalrongSomo-973_yousg-1,no,973_yousg-7,false,expert,Gao2020,,,
Ergong-973_yousg-1-1,Ergong-973_yousg-1,ȵi,973_yousg-7,false,expert,Gao2020,,,
MuyaMinyak-973_yousg-1-1,MuyaMinyak-973_yousg-1,nɛ⁵³,973_yousg-7,false,expert,Gao2020,,,
ZhebaQueyu-973_yousg-1-1,ZhebaQueyu-973_yousg-1,ȵe³⁵,973_yousg-7,false,expert,Gao2020,,,
Guiqiong-973_yousg-1-1,Guiqiong-973_yousg-1,nũ³⁵,973_yousg-7,false,expert,Gao2020,,,
ErsuGanluo-973_yousg-1-1,ErsuGanluo-973_yousg-1,nɛ⁵⁵,973_yousg-7,false,expert,Gao2020,,,
Namuyi-973_yousg-1-1,Namuyi-973_yousg-1,no³³,973_yousg-7,false,expert,Gao2020,,,
Tuja-973_yousg-1-1,Tuja-973_yousg-1,ȵi³⁵,973_yousg-7,false,expert,Gao2020,,,
WrittenBurmese-973_yousg-1-1,WrittenBurmese-973_yousg-1,mɑŋ³,973_yousg-7,false,expert,Gao2020,,,
SpokenBurmese-973_yousg-1-1,SpokenBurmese-973_yousg-1,mĩ⁵⁵,973_yousg-7,false,expert,Gao2020,,,
Achang-973_yousg-1-1,Achang-973_yousg-1,nuaŋ⁵⁵,973_yousg-7,false,expert,Gao2020,,,
Zaiwa-973_yousg-1-1,Zaiwa-973_yousg-1,naŋ⁵¹,973_yousg-7,false,expert,Gao2020,,,
LhaoVo-973_yousg-1-1,LhaoVo-973_yousg-1,nɔ³¹̃,973_yousg-7,false,expert,Gao2020,,,
Nung-973_yousg-1-1,Nung-973_yousg-1,ɳɑ³¹,973_yousg-7,false,expert,Gao2020,,,
Nusu-973_yousg-1-1,Nusu-973_yousg-1,ȵo⁵⁵,973_yousg-7,false,expert,Gao2020,,,
Derung-973_yousg-1-1,Derung-973_yousg-1,nɑ⁵³,973_yousg-7,false,expert,Gao2020,,,
Jingpho-973_yousg-1-1,Jingpho-973_yousg-1,naŋ³³,973_yousg-7,false,expert,Gao2020,,,
Miju-973_yousg-1-1,Miju-973_yousg-1,ȵo⁵³,973_yousg-7,false,expert,Gao2020,,,
DigaroMishmi-973_yousg-1-1,DigaroMishmi-973_yousg-1,ȵoŋ³⁵,973_yousg-7,false,expert,Gao2020,,,
IduMishmi-973_yousg-1-1,IduMishmi-973_yousg-1,ȵo³⁵,973_yousg-7,false,expert,Gao2020,,,
Bokar-973_yousg-1-1,Bokar-973_yousg-1,noː,973_yousg-7,false,expert,Gao2020,,,
Puroik-973_yousg-1-1,Puroik-973_yousg-1,nah⁵³,973_yousg-7,false,expert,Gao2020,,,
TibetanWritten-971_we-1-1,TibetanWritten-971_we-1,ŋa_tsho,971_we-1,false,expert,Gao2020,,,
TibetanLhasa-971_we-1-1,TibetanLhasa-971_we-1,ŋã¹³_tsho⁵³,971_we-1,false,expert,Gao2020,,,
TibetanDege-971_we-1-1,TibetanDege-971_we-1,ŋa¹³_riʔ⁵³_nɑŋ¹³,971_we-3,false,expert,Gao2020,,,
TibetanXiahe-971_we-1-1,TibetanXiahe-971_we-1,ŋə_zo,971_we-1,false,expert,Gao2020,,,
TibetanZeku-971_we-1-1,TibetanZeku-971_we-1,ŋə_zo,971_we-1,false,expert,Gao2020,,,
MenbaCuona-971_we-1-1,MenbaCuona-971_we-1,ŋᴀ¹³_rᴀʔ⁵³,971_we-3,false,expert,Gao2020,,,
MenbaMotuo-971_we-1-1,MenbaMotuo-971_we-1,ʔai,971_we-7,false,expert,Gao2020,,,
QiangMawo-971_we-1-1,QiangMawo-971_we-1,tsə_χɑ,971_we-8,false,expert,Gao2020,,,
QiangTaoping-971_we-1-1,QiangTaoping-971_we-1,qɑ³¹_thyɑ⁵⁵,971_we-9,false,expert,Gao2020,,,
PumiTaoba-971_we-1-1,PumiTaoba-971_we-1,a³⁵_rə⁵³,971_we-1,false,expert,Gao2020,,,
PumiQinghua-971_we-1-1,PumiQinghua-971_we-1,ɛ⁵⁵_ʐə⁵⁵,971_we-1,false,expert,Gao2020,,,
rGyalrongSomo-971_we-1-1,rGyalrongSomo-971_we-1,ŋə_ȵᴇ,971_we-12,false,expert,Gao2020,,,
