SID	SWADESH	YAKHONTOV	ENGLISH	CHINESE	LANGUAGE	COGNATE	FORM	CONCEPTICON_ID	CONCEPTICON_GLOSS
973	2		you	你	40	7	nuaŋ⁵⁵		
973	2		you	你	41	7	naŋ⁵¹		
973	2		you	你	42	7	nɔ³¹̃		
973	2		you	你	43	7	ɳɑ³¹		
973	2		you	你	44	7	ȵo⁵⁵		
973	2		you	你	45	7	nɑ⁵³		
973	2		you	你	46	7	naŋ³³		
973	2		you	你	47	7	ȵo⁵³		
973	2		you	你	48	7	ȵoŋ³⁵		
973	2		you	你	49	7	ȵo³⁵		
973	2		you	你	50	7	noː		
973	2		you	你	51	7	nah⁵³		
971	3		we	我们	1	1	ŋa tsho		
971	3		we	我们	2	1	ŋã¹³ tsho⁵³		
971	3		we	我们	3	3	ŋa¹³ riʔ⁵³ nɑŋ¹³		
971	3		we	我们	4	1	ŋə zo		
971	3		we	我们	5	1	ŋə zo		
971	3		we	我们	6	3	ŋᴀ¹³ rᴀʔ⁵³		
971	3		we	我们	7	7	ʔai; ʔai te		
971	3		we	我们	8	8	tsə χɑ		
971	3		we	我们	9	9	qɑ³¹ thyɑ⁵⁵		
971	3		we	我们	10	1	a³⁵ rə⁵³		
971	3		we	我们	11	1	ɛ⁵⁵ ʐə⁵⁵		
971	3		we	我们	12	12	ŋə ȵᴇ		
971	3		we	我们	13	12	ŋɛ ȵɯ		
971	3		we	我们	14	12	ŋɯ⁵⁵ nɯ⁵³		
971	3		we	我们	15	1	ŋa³⁵ tsho⁵³		
971	3		we	我们	16	1	ŋɔ³³ zi⁵⁵		
971	3		we	我们	17	1	ɑ⁵⁵ rɿ⁵⁵		
971	3		we	我们	18	1	ŋa⁵⁵ χo³³		
971	3		we	我们	19	1	ŋɐ⁵⁵ rɛ⁵⁵̃		
971	3		we	我们	20	1	ŋo²¹ ɣo⁴⁴		
971	3		we	我们	21	1	ŋo²¹ xɯ³³		
971	3		we	我们	22	22	o²¹		
971	3		we	我们	23	23	ɣuᴀ³³ kɯ³³; ŋo²¹		
971	3		we	我们	24	24	ŋo³³ ɕi²¹; ŋo³³ bo³³		
971	3		we	我们	25	24	ŋo³³ bɯ²¹		
971	3		we	我们	26	12	ŋuɑ³³ nu³¹		
971	3		we	我们	27	27	ŋə³³ ŋgɯ³¹		
971	3		we	我们	28	1	ȵɑ⁵⁵ ʐa³³		
971	3		we	我们	29	29	ŋɔ³¹ v̩³³		
971	3		we	我们	30	30	ŋa⁵⁵ ja³³		
971	3		we	我们	31	31	ŋɔ³³ thi⁵⁵		
971	3		we	我们	32	1	ŋᴀ³¹ xɯ³³		
971	3		we	我们	33	30	ŋa³³ jo³¹		
971	3		we	我们	34	34	ŋɑ⁵⁵		
971	3		we	我们	35	34	ŋɑ⁵⁵		
971	3		we	我们	36	1	ŋɑ⁵⁵ ɣo⁵⁵		
971	3		we	我们	37	12	a³⁵ ȵi⁵⁵		
971	3		we	我们	40	31	ŋɔ⁵⁵ tuʔ³¹		
971	3		we	我们	42	12	ŋɔ³¹̆ na̱uŋ⁵⁵		
971	3		we	我们	50	49	ŋoː lu		
971	3		we	我们	44	31	ŋɑ³⁵ dɯ³¹		
971	3		we	我们	49	49	ŋɑ³⁵ ɑ³¹ loŋ³⁵		
971	3		we	我们	39	31	ŋɑ²² to⁵³		
971	3		we	我们	38	31	ŋɑ² to¹		
971	3		we	我们	41	31	ŋa⁵⁵ moʔ⁵⁵		
971	3		we	我们	48	1	ŋ⁵⁵ tɕu³¹		
971	3		we	我们	47	23	kin⁵⁵		
971	3		we	我们	45	43	ĩŋ³⁵		
971	3		we	我们	51	27	gə³³ ɣəȵ³³		
971	3		we	我们	43	43	ɑ³¹ iɯŋ⁵⁵		
971	3		we	我们	46	31	an⁵⁵ the³³		
971	3		we	我们	37	12	a³⁵ ȵi⁵⁵		
981	4	85	this	这	1	1	ɦdi		
981	4	85	this	这	2	1	ti¹³		
981	4	85	this	这	3	1	ʔin⁵⁵ de⁵³		
981	4	85	this	这	4	1	ndə		
